date,num_trades,total_pnl_in_agg,avg_leverage,top_account_1,top_account_1_pnl
2025-02-19,1361,6699925.190574,,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,5930.986467
2024-10-27,4,3189461.032019,,0x4f93fead39b70a1824f981a54d4e55b278e9f760,666.6623079999999
